Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail,Веб-сайт,Twitter,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Four,ресторан,Рестораны; Кейтеринг; Банкетные залы; Конференц-залы / Переговорные комнаты; Доставка готовых блюд,"Октябрьский проспект, 145 к1",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,4.3,21,88332204191,,four.kirov@4ehotels.com,http://four-kirov.ru,,https://vk.com/four.kirov,,,https://t.me/four_kirov,https://youtube.com/FOURELEMENTSLIFE,58.590339,49.657452,https://2gis.com/firm/70000001007379384
Трактиръ Колесо,,Рестораны,"улица Сурикова, 19",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.1,64,88332760533,88332430533,,http://m-kyhnia.ru/koleso/surikova/,,https://vk.com/mkyhnia,https://wa.me/79127242971,viber://chat/?number=79127242971,https://t.me/elena_shtin,,58.58771,49.635932,https://2gis.com/firm/8163302605677640
Куркума,ресторан-чайхана,Рестораны; Доставка готовых блюд,"Спасская улица, 67",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.7,119,88332470220,,,,,https://vk.com/curcumakirov,https://wa.me/79123369620,viber://chat/?number=79123369620,,,58.60185,49.660061,https://2gis.com/firm/70000001039265199
Царское Село,ресторация русской кухни,Рестораны; Банкетные залы; Кейтеринг; Кондитерские изделия,"улица Герцена, 78",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.4,46,88332405343,,,http://m-kyhnia.ru/tsarskoe-selo/,,https://vk.com/mkyhnia,,,,,58.599747,49.656206,https://2gis.com/firm/8163302605593109
Nobel,гастробар,Рестораны; Бары,"улица Воровского, 43",3 этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-05:00; Вт: 08:00-05:00; Ср: 08:00-05:00; Чт: 08:00-05:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 08:00-05:00,+03:00,4.6,93,88332220107,,,http://nobel.bar,,https://vk.com/gastrobarnobel,https://wa.me/79229224302,,,,58.594455,49.667082,https://2gis.com/firm/70000001036037552
Fabrika 3.0,ресторан-клуб,Рестораны; Бары; Ночные клубы; Банкетные залы,"Спасская улица, 15а","1, 2 этаж",610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-01:00,+03:00,3.5,78,88332438111,,,http://fabrika-kirov.ru,https://twitter.com/434581534726,https://vk.com/fabrikakirov,,,,https://youtube.com/434581534726,58.602521,49.684555,https://2gis.com/firm/70000001020592720
The Engineer,гастробар-клуб,Рестораны; Бары; Банкетные залы; Доставка готовых блюд; Ночные клубы,"улица Романа Ердякова, 42",,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,"Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 13:00-04:00; Вс: 13:00-04:00 (ночной клуб: чт, вс 20:00-4:00; пт-сб 18:00-4:00)",+03:00,4.8,186,88332222456,,,,,https://vk.com/engineer.kirov,https://wa.me/79229761799,,,,58.616772,49.635345,https://2gis.com/firm/70000001032196235
Васнецовъ,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"Спасская улица, 41в",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.5,70,88332441818,,,http://ресторан-васнецов.рф,,https://vk.com/restoran_vasnecov,,,,https://youtube.com/channel/UCxoLgUJ_8eWNYpiuzLp6uAg,58.602102,49.672714,https://2gis.com/firm/8163302605708846
Mama Roma,итальянский ресторан,Рестораны; Банкетные залы; Пиццерии,"улица Карла Маркса, 89",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.4,112,88332413323,88332730733,,http://mamaroma.ru,,https://vk.com/mamaromakirov,https://wa.me/79229930733,viber://chat/?number=79229930733,,,58.598334,49.668111,https://2gis.com/firm/70000001030153012
Izakaya Koi,японский гастро-паб,Рестораны; Суши-бары; Доставка готовых блюд,"Преображенская улица, 65",6 этаж,610020,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,3.8,56,88332420442,,,http://koi-izakaya.ru,,https://vk.com/koi.izakaya,,,,,58.605503,49.664365,https://2gis.com/firm/70000001040787120
